condition,molecule,mean,sem
1_3,Citrate,1.3343583588178263,0.10247763999750041
1_3,D-Fructose 6-phosphate,1.3446466254203104,0.10367793667349073
1_3,D-glucose,2.6124736978019065,0.2873509517569682
1_3,Glucose_Na,0.5683986136216455,0.06555376783346506
1_3,Glucose_Na_b,0.6853365683136896,0.028647599211950384
1_3,Isocitrate,1.2259539454878592,0.12772519764677281
1_3,L-Arginine,2.1010138837124495,0.2093711769647406
1_3,L-Histidine,1.4786201405169255,0.22731941495920938
1_3,L-Lactate,0.9744554627612484,0.2331842774728968
1_3,L-Phenylalanine,1.0790476174854053,0.08074000737535778
1_3,L-Threonine,1.262211260329359,0.1943782838503362
1_3,L-Tryptophan,0.6978086730465415,0.033092655362823034
1_3,L-Valine,1.3259366996290347,0.2291098312754932
1_3,"R-2,3-Dihydroxy-isovalerate",1.507541089823625,0.0451962787592883
1_3,"R-2,3-dihydroxy-3-methylpentanoate",1.6641356983032356,0.10001179018236941
1_3,Succinate,1.2397155498687238,0.08195873768896442
1_4,(S)-Malate,1.6853168873199154,0.10344655721191368
1_4,3-Phospho-D-glycerate,1.2695290005579727,0.05452964628035209
1_4,6-Phosphogluconic acid,0.9364474562238967,0.0864303376868405
1_4,Biotin,0.7628898268991956,0.016683018829693943
1_4,Butyrate,1.0727950908163728,0.0703073143269994
1_4,Citrate,1.2878058693284995,0.06062077463373829
1_4,D-Fructose 6-phosphate,1.361755304750581,0.0724486189486273
1_4,D-glucose,2.7481461058709127,0.09429938708146024
1_4,Glucose_Na,0.6667381648693426,0.03632924867991938
1_4,Glucose_Na_b,0.7284750177603746,0.020034312886157223
1_4,Isocitrate,1.110203075941526,0.03697579617893635
1_4,L-Arginine,1.7836815297311468,0.10582814272947215
1_4,L-Histidine,1.2352539431099456,0.15600859098734585
1_4,L-Lactate,1.2026646353571515,0.08511129806728461
1_4,L-Phenylalanine,0.9929156659264775,0.06646522037876414
1_4,L-Threonine,1.2555015834848253,0.18460931907526698
1_4,L-Tryptophan,0.7161996775405486,0.018682035756666757
1_4,L-Valine,1.4570129835640586,0.23690782321874618
1_4,"R-2,3-Dihydroxy-isovalerate",1.0301829454395064,0.047751725591475266
1_4,"R-2,3-dihydroxy-3-methylpentanoate",1.2819916717809046,0.058795708751261284
1_4,Succinate,1.1747997493035105,0.0375066298385314
1_5,(S)-Malate,1.641429821466515,0.07525807844885492
1_5,3-Phospho-D-glycerate,1.4108164623976172,0.035640126911866125
1_5,6-Phosphogluconic acid,1.1743869104548506,0.1087327238290429
1_5,Biotin,0.6548569170676574,0.057170537154701356
1_5,Butyrate,0.5930917053864123,0.12440330224874707
1_5,Citrate,1.183741122147833,0.0824960999296462
1_5,D-Fructose 6-phosphate,1.361979044279434,0.15852418946294528
1_5,D-glucose,2.699515489809064,0.09100300589141312
1_5,Glucose_Na,0.5872968325000647,0.07903940900433629
1_5,Glucose_Na_b,0.6105269106040508,0.05293908231729405
1_5,Isocitrate,1.1381393260727328,0.05043344312725082
1_5,L-Arginine,2.8206239349976117,0.29502720046765907
1_5,L-Histidine,1.6588353631014818,0.214111089299276
1_5,L-Lactate,0.7911005342071288,0.14071234731676788
1_5,L-Phenylalanine,1.5983444903193076,0.28191758060579464
1_5,L-Threonine,1.4770388797780933,0.2570943862803341
1_5,L-Tryptophan,0.6232536018602812,0.056911977969071575
1_5,L-Valine,1.6409480386744277,0.33363194797532675
